,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
31,The Moment I Knew (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,285280,65,0.636,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,4
32,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,223333,70,0.46,0.0158,0.46,0.632,0.0,0.0822,-6.031,0.0302,79.846,4
33,Girl At Home (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,220520,63,0.691,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,4
34,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,321640,63,0.445,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,3
35,Ronan (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,264253,60,0.623,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,4
36,the lakes - original version,the lakes (original version),Taylor Swift,2021-07-24,227203,62,0.197,0.717,0.197,0.406,0.000362,0.293,-10.904,0.0619,90.053,4
37,Renegade (feat. Taylor Swift),Renegade (feat. Taylor Swift),Big Red Machine,2021-07-02,254466,40,0.532,0.435,0.532,0.708,0.0236,0.107,-8.121,0.0505,167.977,4
38,cardigan,folklore,Taylor Swift,2020-07-24,239560,78,0.613,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,4
39,exile (feat. Bon Iver),folklore,Taylor Swift,2020-07-24,285634,78,0.298,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,4
40,betty,folklore,Taylor Swift,2020-07-24,294521,70,0.593,0.6,0.593,0.377,0.0,0.0976,-8.761,0.0253,95.939,4
41,august,folklore,Taylor Swift,2020-07-24,261922,78,0.532,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,4
42,this is me trying,folklore,Taylor Swift,2020-07-24,195097,71,0.515,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,4
43,the 1,folklore,Taylor Swift,2020-07-24,210251,74,0.777,0.757,0.777,0.357,7.28e-06,0.108,-6.942,0.0522,139.883,4
44,the last great american dynasty,folklore,Taylor Swift,2020-07-24,230999,69,0.686,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,4
45,my tears ricochet,folklore,Taylor Swift,2020-07-24,255893,73,0.456,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,4
46,mirrorball,folklore,Taylor Swift,2020-07-24,208977,71,0.553,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107,4
47,seven,folklore,Taylor Swift,2020-07-24,208906,69,0.596,0.9,0.596,0.488,2.7e-05,0.091,-10.769,0.0274,94.926,4
48,illicit affairs,folklore,Taylor Swift,2020-07-24,190898,70,0.559,0.881,0.559,0.31,0.0,0.106,-10.445,0.0338,119.845,4
49,invisible string,folklore,Taylor Swift,2020-07-24,252880,70,0.653,0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,4
50,mad woman,folklore,Taylor Swift,2020-07-24,237258,65,0.592,0.655,0.592,0.699,1.68e-05,0.114,-8.995,0.0471,141.916,4
51,epiphany,folklore,Taylor Swift,2020-07-24,289749,64,0.354,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,4
52,peace,folklore,Taylor Swift,2020-07-24,234000,65,0.647,0.918,0.647,0.272,1.73e-05,0.0918,-12.906,0.0916,150.044,4
53,hoax,folklore,Taylor Swift,2020-07-24,220042,64,0.662,0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,4
54,cardigan - cabin in candlelight version,cardigan (cabin in candlelight version),Taylor Swift,2020-07-30,228000,59,0.652,0.9,0.652,0.237,0.0,0.0991,-8.364,0.0335,129.976,4
55,the lakes - bonus track,folklore (deluxe version),Taylor Swift,2020-08-18,211813,64,0.313,0.842,0.313,0.258,1.3e-06,0.0948,-11.532,0.0383,179.947,4
56,Love Story (Taylor’s Version),Love Story (Taylor’s Version),Taylor Swift,2021-02-12,235766,73,0.626,0.135,0.626,0.79,3.97e-06,0.0989,-4.302,0.0311,119.082,4
57,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,241591,69,0.569,0.0122,0.569,0.741,0.0,0.333,-4.963,0.0282,100.118,4
58,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,294419,65,0.559,0.116,0.559,0.646,0.0,0.32,-4.61,0.0272,95.466,4
59,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,235766,74,0.627,0.13,0.627,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,4
60,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,254254,64,0.788,0.106,0.788,0.571,0.0,0.0934,-6.135,0.0296,115.99,4
61,White Horse (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,234515,65,0.423,0.369,0.423,0.517,0.0,0.177,-7.377,0.0486,185.262,4
62,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,231124,77,0.632,0.0623,0.632,0.773,0.0,0.0885,-4.856,0.0346,130.033,4
63,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,263377,62,0.506,0.156,0.506,0.626,0.0,0.228,-6.066,0.0287,148.035,4
64,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,200575,61,0.578,0.0222,0.578,0.909,0.0,0.333,-3.669,0.0628,100.023,4
65,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,261842,62,0.506,0.0538,0.506,0.444,0.0,0.123,-4.99,0.0285,133.873,4
66,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,243136,76,0.402,0.0033,0.402,0.732,0.0,0.108,-4.665,0.0484,161.032,4
